116,80.094,67.202,116,-23.929,93.952,116,0,0,116,0,0,116,0,0,116,-39.36,79.909,116,31.863,76.815,116,0,0,116,0,0,116,-20.38,93.677,116,0,0,116,-27.08,23.973,116,79.83,66.217,116,80.094,67.202,116,0,0,116,-23.564,94.033,116,96.546,-55.3,116,79.83,66.217,116,80.094,67.202,116,-24.697,93.788,116,-1.0181,0.73723,116,-54.836,63.868,116,-24.335,93.489,116,0,0,116,-22.825,94.194,116,0,0
119,74.308,52.368,119,-5.4366,-35.349,119,-15.32,70.77,119,-19.56,75.158,119,-22.758,-19.481,119,-32.553,-14.927,119,-60.416,48.038,119,-62.939,48.176,119,0.15296,-0.26395,119,71.802,27.182,119,-6.3138,68.82,119,-56.297,50.026,119,79.32,65.146,119,-45.91,16.986,119,0,0,119,-15.229,73.284,119,0.43377,-1.4809,119,0,0,119,64.511,24.956,119,29.459,-63.911,119,-12.678,70.937,119,-13.275,79.289,119,-51.75,15.71,119,0,0,119,-8.1056,71.733,119,-52.582,46.881
121,-20.015,93.758,121,46.927,-86.093,121,80.094,67.202,121,-65.507,83.212,121,-26.112,-15.298,121,3.403,40.28,121,8.1634,62.721,121,-4.6369,38.788,121,-0.29764,0.2129,121,55.223,-71.171,121,61.583,-59.255,121,-63.05,68.219,121,71.676,58.039,121,18.502,80.084,121,-1.7329,1.2463,121,-61.368,58.623,121,1.9808,39.046,121,62.272,-47.642,121,19.924,7.736,121,-52.253,47.363,121,-2.506,3.0816,121,-53.223,54.873,121,4.2762,44.836,121,0,0,121,-18.75,93.372,121,0.81617,0.2909
128,77.907,65.367,128,-3.1643,81.524,128,-1.4944,86.336,128,-0.25092,72.462,128,8.5916,-28.287,128,24.699,-32.45,128,46.284,-57.298,128,61.583,38.147,128,0,0,128,59.668,38.295,128,61.806,49.923,128,0,0,128,NaN,NaN,128,-3.5899,33.931,128,0,0,128,9.6305,59.295,128,9.7545,77.558,128,-36.366,39.089,128,-44.686,52.478,128,0.17516,71.909,128,38.083,16.486,128,12.024,75.135,128,-24.313,-13.286,128,7.4067,56.388,128,48.208,14.319,128,-8.762,84.981
127,-20.924,94.225,127,15.384,49.991,127,0,0,127,14.048,-43.611,127,8.9643,81.902,127,6.4394,52.401,127,-9.0521,80.468,127,10.994,67.551,127,-1.3326,-2.3147,127,53.969,68.489,127,-0.069152,-2.6984,127,-20.25,83.386,127,14.194,81.355,127,-60.392,65.719,127,0,0,127,-3.4119,-0.62416,127,-0.65614,-5.9077,127,9.9319,-35.136,127,70.199,48.097,127,-1.7902,-1.5894,127,-5.1926,-1.6948,127,-3.971,-25.95,127,4.5909,-21.203,127,1.2018,-3.4612,127,-23.583,90.99,127,1.1448,-2.9923
129,22.429,-6.5704,129,42.261,-76.411,129,-17.771,10.735,129,-8.7927,19.292,129,-45.316,29.648,129,15.269,-30.672,129,-47.063,35.218,129,-6.6412,31.383,129,2.9466,-0.14931,129,16.115,-32.402,129,3.8284,-0.57424,129,-3.1864,35.17,129,-0.41819,34.69,129,-2.2591,38.184,129,-0.57429,0.51578,129,10.71,-5.5693,129,0.3959,-0.02034,129,76.683,12.708,129,-8.721,22.341,129,-6.2373,31.169,129,5.1511,-1.6177,129,5.2936,-0.24082,129,-7.2959,18.481,129,3.5667,-0.52242,129,-8.5425,20.679,129,5.3336,-0.81921
132,0.19102,65.47,132,12.441,46.492,132,-21.288,-8.1339,132,-22.448,88.722,132,-52.291,46.149,132,-56.324,55.658,132,55.526,-2.2787,132,0.6674,-8.3976,132,0,0,132,68.559,52.765,132,61.617,-55.801,132,3.5222,-5.6566,132,49.634,27.162,132,-41.101,30.952,132,-26.6,-10.313,132,35.659,-22.539,132,63.439,-48.404,132,52.619,3.8781,132,-26.78,-13.897,132,80.094,67.202,132,33.647,70.926,132,-0.11658,0.16243,132,-42.409,39.765,132,0.8707,0.32028,132,-20.274,80.061,132,0,0
133,28.545,-77.524,133,70.951,59.496,133,54.66,-84.731,133,-18.467,92.72,133,64.27,47.191,133,-23.36,93.948,133,-31.329,41.561,133,-0.15137,-0.46433,133,0,0,133,44.842,49.921,133,-69.186,64.004,133,3.0322,24.356,133,-62.247,61.08,133,-60.25,61.641,133,0,0,133,-24.271,87.798,133,31.713,76.827,133,-63.845,65.093,133,69.043,-96.78,133,-3.9741,34.434,133,-59.391,59.866,133,-14.548,83.906,133,-14.021,91.468,133,-29.926,92.557,133,-23.096,89.967,133,-21.705,94.312
136,-17.452,65.226,136,9.5267,25.914,136,0.037931,53.116,136,6.859,24.548,136,-13.727,69.262,136,-56.605,54.214,136,51.894,-49.441,136,16.945,55.702,136,-18.807,-2.9078,136,-59.772,58.578,136,15.8,55.45,136,-63.896,61.308,136,54.247,26.427,136,60.808,26.6,136,NaN,NaN,136,11.137,20.127,136,47.457,-40.936,136,54.149,28.653,136,-14.412,58.923,136,39.96,-74.893,136,-46.029,38.024,136,46.106,41.716,136,21.311,43.299,136,34.933,48.678,136,NaN,NaN,136,19.614,-28.987
140,42.382,28.968,140,32.791,-53.473,140,-0.84134,48.79,140,35.228,-58.464,140,-48.578,45.056,140,NaN,NaN,140,NaN,NaN,140,-5.9429,62.497,140,-6.6751,66.208,140,59.563,-17.624,140,NaN,NaN,140,43.375,-56.001,140,33.484,-61.887,140,4.3895,51.171,140,1.2634,44.531,140,50.421,-44.518,140,39.613,-39.463,140,NaN,NaN,140,30.307,-60.998,140,-5.6775,58.811,140,-3.383,59.213,140,16.476,20.956,140,23.655,-57.552,140,-1.586,55.706,140,-13.189,63.498,140,-1.2196,62.986
144,73.572,60.875,144,0.36161,-57.008,144,2.0071,82.772,144,0.48848,47.83,144,57.172,47.507,144,-54.907,33.678,144,-52.416,41.789,144,-26.698,37.347,144,-2.023,86.147,144,91.547,-52.22,144,60.374,-53.131,144,-29.92,92.639,144,63.588,50.579,144,38.64,-70.724,144,6.9478,-6.9421,144,91.599,-73.603,144,16.616,-34.791,144,3.9595,-46.155,144,79.954,67.084,144,60.867,50.953,144,70.507,-54.682,144,29.226,-13.055,144,47.638,2.0525,144,79.313,64.608,144,17.842,73.271,144,0,0
154,80.094,67.202,154,11.969,-32.729,154,-16.518,58.633,154,-35.772,26.928,154,33.806,-60.161,154,20.325,-28.588,154,-45.387,42.368,154,15.243,64.257,154,-4.4037,-2.1675,154,-41.927,35.539,154,11.99,-11.638,154,22.175,-13.132,154,19.335,-49.057,154,4.8798,-23.729,154,0,0,154,23.683,-18.405,154,-12.484,1.2526,154,63.574,36.988,154,-52.302,48.409,154,0.59006,39.068,154,2.6262,25.541,154,5.9488,2.1691,154,8.001,-8.6498,154,NaN,NaN,154,2.3289,-0.33078,154,0,0
